date,value,cumulative
2017-03-02,6.0,6.0
2017-03-03,24.0,30.0
2017-03-08,2.0,32.0
2017-03-09,500.0,532.0
2017-03-14,50.0,582.0
2017-03-17,60.0,642.0
2017-03-20,100.0,742.0
2017-03-21,200.0,942.0
2017-03-22,300.0,1242.0
2017-04-01,300.0,1542.0
2017-04-20,350.0,1892.0
2017-04-24,500.0,2392.0
2017-04-26,300.0,2692.0
2017-05-02,500.0,3192.0
2017-05-16,100.0,3292.0
2017-05-17,200.0,3492.0
2017-05-19,150.0,3642.0
2017-05-20,100.0,3742.0
2017-05-23,100.0,3842.0
2017-06-01,300.0,4142.0
2017-06-03,100.0,4242.0
2017-06-05,150.0,4392.0
2017-06-06,200.0,4592.0
2017-06-08,100.0,4692.0
2017-06-09,200.0,4892.0
2017-06-12,50.0,4942.0
2017-06-13,50.0,4992.0
2017-06-14,50.0,5042.0
2017-06-18,250.0,5292.0
2017-06-21,100.0,5392.0
2017-06-22,100.0,5492.0
2017-06-23,100.0,5592.0
2017-06-25,100.0,5692.0
